bank_txn_id,value_date,narration,debit,credit,running_balance,utr_number
uci_bank_489465,2009-12-01,UCI ONLINE RETAIL UCI-489465,0.0,1197.8,10129.99,setl_489465
uci_bank_489488,2009-12-01,UCI ONLINE RETAIL UCI-489488,0.0,251.1,10381.09,setl_489488
uci_bank_489505,2009-12-01,UCI ONLINE RETAIL UCI-489505,0.0,255.5,10636.59,setl_489505
uci_bank_489514,2009-12-01,UCI ONLINE RETAIL UCI-489514,0.0,823.02,11459.61,setl_489514
uci_bank_489517,2009-12-01,UCI ONLINE RETAIL UCI-489517,0.0,282.46,11742.07,setl_489517
uci_bank_489519,2009-12-01,UCI ONLINE RETAIL UCI-489519,0.0,696.73,12438.8,setl_489519
uci_bank_489520,2009-12-01,UCI ONLINE RETAIL UCI-489520,0.0,733.63,13172.43,setl_489520
uci_bank_489522,2009-12-01,UCI ONLINE RETAIL UCI-489522,0.0,700.31,13872.74,setl_489522
uci_bank_489523,2009-12-01,UCI ONLINE RETAIL UCI-489523,0.0,1160.0,15032.74,setl_489523
uci_bank_489526,2009-12-01,UCI ONLINE RETAIL UCI-489526,0.0,929.92,15962.66,setl_489526
uci_bank_489529,2009-12-01,UCI ONLINE RETAIL UCI-489529,0.0,229.46,16192.12,setl_489529
uci_bank_489531,2009-12-01,UCI ONLINE RETAIL UCI-489531,0.0,145.0,16337.12,setl_489531
uci_bank_489532,2009-12-01,UCI ONLINE RETAIL UCI-489532,0.0,304.53,16641.65,setl_489532
uci_bank_489533,2009-12-01,UCI ONLINE RETAIL UCI-489533,0.0,192.75,16834.4,setl_489533
uci_bank_489536,2009-12-01,UCI ONLINE RETAIL UCI-489536,0.0,367.41,17201.81,setl_489536
uci_bank_489537,2009-12-01,UCI ONLINE RETAIL UCI-489537,0.0,633.33,17835.14,setl_489537
uci_bank_489539,2009-12-01,UCI ONLINE RETAIL UCI-489539,0.0,2887.14,20722.28,setl_489539
uci_bank_489540,2009-12-01,UCI ONLINE RETAIL UCI-489540,0.0,537.96,21260.24,setl_489540
uci_bank_489542,2009-12-01,UCI ONLINE RETAIL UCI-489542,0.0,387.6,21647.84,setl_489542
uci_bank_489544,2009-12-01,UCI ONLINE RETAIL UCI-489544,0.0,281.82,21929.66,setl_489544
uci_bank_489545,2009-12-01,UCI ONLINE RETAIL UCI-489545,0.0,124.95,22054.61,setl_489545
uci_bank_489546,2009-12-01,UCI ONLINE RETAIL UCI-489546,0.0,584.5,22639.11,setl_489546
uci_bank_489547,2009-12-01,UCI ONLINE RETAIL UCI-489547,0.0,641.45,23280.56,setl_489547
uci_bank_489550,2009-12-01,UCI ONLINE RETAIL UCI-489550,0.0,482.3,23762.86,setl_489550
uci_bank_489552,2009-12-01,UCI ONLINE RETAIL UCI-489552,0.0,278.61,24041.47,setl_489552
uci_bank_489556,2009-12-01,UCI ONLINE RETAIL UCI-489556,0.0,379.65,24421.12,setl_489556
uci_bank_489557,2009-12-01,UCI ONLINE RETAIL UCI-489557,0.0,603.94,25025.06,setl_489557
uci_bank_489558,2009-12-01,UCI ONLINE RETAIL UCI-489558,0.0,291.58,25316.64,setl_489558
uci_bank_489559,2009-12-01,UCI ONLINE RETAIL UCI-489559,0.0,128.6,25445.24,setl_489559
uci_bank_489560,2009-12-01,UCI ONLINE RETAIL UCI-489560,0.0,859.1,26304.34,setl_489560
uci_bank_489561,2009-12-01,UCI ONLINE RETAIL UCI-489561,0.0,246.86,26551.2,setl_489561
uci_bank_489562,2009-12-01,UCI ONLINE RETAIL UCI-489562,0.0,229.6,26780.8,setl_489562
uci_bank_489564,2009-12-01,UCI ONLINE RETAIL UCI-489564,0.0,322.9,27103.7,setl_489564
uci_bank_489566,2009-12-01,UCI ONLINE RETAIL UCI-489566,0.0,218.55,27322.25,setl_489566
uci_bank_489567,2009-12-01,UCI ONLINE RETAIL UCI-489567,0.0,307.8,27630.05,setl_489567
uci_bank_489569,2009-12-01,UCI ONLINE RETAIL UCI-489569,0.0,282.28,27912.33,setl_489569
uci_bank_489571,2009-12-01,UCI ONLINE RETAIL UCI-489571,0.0,156.71,28069.04,setl_489571
uci_bank_489572,2009-12-01,UCI ONLINE RETAIL UCI-489572,0.0,507.49,28576.53,setl_489572
uci_bank_489573,2009-12-01,UCI ONLINE RETAIL UCI-489573,0.0,580.02,29156.55,setl_489573
uci_bank_489574,2009-12-01,UCI ONLINE RETAIL UCI-489574,0.0,551.33,29707.88,setl_489574
uci_bank_489575,2009-12-01,UCI ONLINE RETAIL UCI-489575,0.0,367.28,30075.16,setl_489575
uci_bank_489576,2009-12-01,UCI ONLINE RETAIL UCI-489576,0.0,319.66,30394.82,setl_489576
uci_bank_489579,2009-12-01,UCI ONLINE RETAIL UCI-489579,0.0,219.82,30614.64,setl_489579
uci_bank_489580,2009-12-01,UCI ONLINE RETAIL UCI-489580,0.0,261.0,30875.64,setl_489580
uci_bank_489582,2009-12-01,UCI ONLINE RETAIL UCI-489582,0.0,293.95,31169.59,setl_489582
uci_bank_489581,2009-12-01,UCI ONLINE RETAIL UCI-489581,0.0,124.83,31294.42,setl_489581
uci_bank_489584,2009-12-01,UCI ONLINE RETAIL UCI-489584,0.0,21.95,31316.37,setl_489584
uci_bank_489585,2009-12-01,UCI ONLINE RETAIL UCI-489585,0.0,105.85,31422.22,setl_489585
uci_bank_489586,2009-12-01,UCI ONLINE RETAIL UCI-489586,0.0,263.42,31685.64,setl_489586
uci_bank_489590,2009-12-01,UCI ONLINE RETAIL UCI-489590,0.0,362.78,32048.42,setl_489590
uci_bank_489593,2009-12-01,UCI ONLINE RETAIL UCI-489593,0.0,423.87,32472.29,setl_489593
uci_bank_489594,2009-12-01,UCI ONLINE RETAIL UCI-489594,0.0,322.33,32794.62,setl_489594
uci_bank_489598,2009-12-01,UCI ONLINE RETAIL UCI-489598,0.0,822.37,33616.99,setl_489598
uci_bank_489599,2009-12-01,UCI ONLINE RETAIL UCI-489599,0.0,2454.68,36071.67,setl_489599
uci_bank_489606,2009-12-01,UCI ONLINE RETAIL UCI-489606,0.0,2.1,36073.77,setl_489606
uci_bank_489611,2009-12-01,UCI ONLINE RETAIL UCI-489611,0.0,2.95,36076.72,setl_489611
uci_bank_489613,2009-12-01,UCI ONLINE RETAIL UCI-489613,0.0,12.75,36089.47,setl_489613
uci_bank_489617,2009-12-01,UCI ONLINE RETAIL UCI-489617,0.0,198.0,36287.47,setl_489617
uci_bank_489634,2009-12-01,UCI ONLINE RETAIL UCI-489634,0.0,17.4,36304.87,setl_489634
uci_bank_489635,2009-12-01,UCI ONLINE RETAIL UCI-489635,0.0,352.85,36657.72,setl_489635
uci_bank_489637,2009-12-01,UCI ONLINE RETAIL UCI-489637,0.0,535.9,37193.62,setl_489637
uci_bank_489639,2009-12-01,UCI ONLINE RETAIL UCI-489639,0.0,31.2,37224.82,setl_489639
uci_bank_489640,2009-12-01,UCI ONLINE RETAIL UCI-489640,0.0,329.91,37554.73,setl_489640
uci_bank_489641,2009-12-01,UCI ONLINE RETAIL UCI-489641,0.0,622.1,38176.83,setl_489641
uci_bank_489644,2009-12-01,UCI ONLINE RETAIL UCI-489644,0.0,896.54,39073.37,setl_489644
uci_bank_489645,2009-12-01,UCI ONLINE RETAIL UCI-489645,0.0,261.74,39335.11,setl_489645
uci_bank_489650,2009-12-01,UCI ONLINE RETAIL UCI-489650,0.0,173.1,39508.21,setl_489650
uci_bank_489652,2009-12-01,UCI ONLINE RETAIL UCI-489652,0.0,294.14,39802.35,setl_489652
uci_bank_489654,2009-12-01,UCI ONLINE RETAIL UCI-489654,0.0,222.12,40024.47,setl_489654
uci_bank_489657,2009-12-01,UCI ONLINE RETAIL UCI-489657,0.0,55.2,40079.67,setl_489657
uci_bank_489656,2009-12-01,UCI ONLINE RETAIL UCI-489656,0.0,1237.3,41316.97,setl_489656
uci_bank_489658,2009-12-01,UCI ONLINE RETAIL UCI-489658,0.0,828.09,42145.06,setl_489658
uci_bank_489661,2009-12-01,UCI ONLINE RETAIL UCI-489661,0.0,23.48,42168.54,setl_489661
uci_bank_489662,2009-12-01,UCI ONLINE RETAIL UCI-489662,0.0,73.75,42242.29,setl_489662
uci_bank_489664,2009-12-01,UCI ONLINE RETAIL UCI-489664,0.0,374.43,42616.72,setl_489664
uci_bank_489665,2009-12-01,UCI ONLINE RETAIL UCI-489665,0.0,252.3,42869.02,setl_489665
uci_bank_489666,2009-12-01,UCI ONLINE RETAIL UCI-489666,0.0,263.09,43132.11,setl_489666
uci_bank_489667,2009-12-01,UCI ONLINE RETAIL UCI-489667,0.0,538.46,43670.57,setl_489667
uci_bank_489668,2009-12-01,UCI ONLINE RETAIL UCI-489668,0.0,378.12,44048.69,setl_489668
uci_bank_489669,2009-12-02,UCI ONLINE RETAIL UCI-489669,0.0,397.2,44445.89,setl_489669
uci_bank_489670,2009-12-02,UCI ONLINE RETAIL UCI-489670,0.0,114.6,44560.49,setl_489670
uci_bank_489671,2009-12-02,UCI ONLINE RETAIL UCI-489671,0.0,740.3,45300.79,setl_489671
uci_bank_489672,2009-12-02,UCI ONLINE RETAIL UCI-489672,0.0,772.65,46073.44,setl_489672
uci_bank_489673,2009-12-02,UCI ONLINE RETAIL UCI-489673,0.0,61.1,46134.54,setl_489673
uci_bank_489674,2009-12-02,UCI ONLINE RETAIL UCI-489674,0.0,261.3,46395.84,setl_489674
uci_bank_489675,2009-12-02,UCI ONLINE RETAIL UCI-489675,0.0,4939.22,51335.06,setl_489675
uci_bank_489676,2009-12-02,UCI ONLINE RETAIL UCI-489676,0.0,1210.8,52545.86,setl_489676
uci_bank_489677,2009-12-02,UCI ONLINE RETAIL UCI-489677,0.0,192.0,52737.86,setl_489677
uci_bank_489678,2009-12-02,UCI ONLINE RETAIL UCI-489678,0.0,189.3,52927.16,setl_489678
uci_bank_489679,2009-12-02,UCI ONLINE RETAIL UCI-489679,0.0,795.98,53723.14,setl_489679
uci_bank_489681,2009-12-02,UCI ONLINE RETAIL UCI-489681,0.0,89.59,53812.73,setl_489681
uci_bank_489680,2009-12-02,UCI ONLINE RETAIL UCI-489680,0.0,45.0,53857.73,setl_489680
uci_bank_489682,2009-12-02,UCI ONLINE RETAIL UCI-489682,0.0,125.73,53983.46,setl_489682
uci_bank_489683,2009-12-02,UCI ONLINE RETAIL UCI-489683,0.0,1317.97,55301.43,setl_489683
uci_bank_489684,2009-12-02,UCI ONLINE RETAIL UCI-489684,0.0,266.6,55568.03,setl_489684
uci_bank_489687,2009-12-02,UCI ONLINE RETAIL UCI-489687,0.0,221.53,55789.56,setl_489687
uci_bank_489688,2009-12-02,UCI ONLINE RETAIL UCI-489688,0.0,299.7,56089.26,setl_489688
uci_bank_489695,2009-12-02,UCI ONLINE RETAIL UCI-489695,0.0,306.95,56396.21,setl_489695
uci_bank_489699,2009-12-02,UCI ONLINE RETAIL UCI-489699,0.0,401.7,56797.91,setl_489699
uci_bank_489705,2009-12-02,UCI ONLINE RETAIL UCI-489705,0.0,17.0,56814.91,setl_489705
uci_bank_489702,2009-12-02,UCI ONLINE RETAIL UCI-489702,0.0,3108.64,59923.55,setl_489702
uci_bank_489723,2009-12-02,UCI ONLINE RETAIL UCI-489723,0.0,2052.12,61975.67,setl_489723
uci_bank_489726,2009-12-02,UCI ONLINE RETAIL UCI-489726,0.0,750.0,62725.67,setl_489726
uci_bank_489725,2009-12-02,UCI ONLINE RETAIL UCI-489725,0.0,216.0,62941.67,setl_489725
uci_bank_489727,2009-12-02,UCI ONLINE RETAIL UCI-489727,0.0,900.0,63841.67,setl_489727
uci_bank_489728,2009-12-02,UCI ONLINE RETAIL UCI-489728,0.0,180.45,64022.12,setl_489728
uci_bank_489733,2009-12-02,UCI ONLINE RETAIL UCI-489733,0.0,168.0,64190.12,setl_489733
uci_bank_489743,2009-12-02,UCI ONLINE RETAIL UCI-489743,0.0,538.77,64728.89,setl_489743
uci_bank_489748,2009-12-02,UCI ONLINE RETAIL UCI-489748,0.0,754.2,65483.09,setl_489748
uci_bank_489764,2009-12-02,UCI ONLINE RETAIL UCI-489764,0.0,223.1,65706.19,setl_489764
uci_bank_489765,2009-12-02,UCI ONLINE RETAIL UCI-489765,0.0,285.59,65991.78,setl_489765
uci_bank_489766,2009-12-02,UCI ONLINE RETAIL UCI-489766,0.0,130.18,66121.96,setl_489766
uci_bank_489780,2009-12-02,UCI ONLINE RETAIL UCI-489780,0.0,159.98,66281.94,setl_489780
uci_bank_489782,2009-12-02,UCI ONLINE RETAIL UCI-489782,0.0,230.46,66512.4,setl_489782
uci_bank_489783,2009-12-02,UCI ONLINE RETAIL UCI-489783,0.0,162.04,66674.44,setl_489783
uci_bank_489784,2009-12-02,UCI ONLINE RETAIL UCI-489784,0.0,40.8,66715.24,setl_489784
uci_bank_489785,2009-12-02,UCI ONLINE RETAIL UCI-489785,0.0,333.67,67048.91,setl_489785
uci_bank_489786,2009-12-02,UCI ONLINE RETAIL UCI-489786,0.0,216.86,67265.77,setl_489786
uci_bank_489787,2009-12-02,UCI ONLINE RETAIL UCI-489787,0.0,319.54,67585.31,setl_489787
uci_bank_489788,2009-12-02,UCI ONLINE RETAIL UCI-489788,0.0,119.16,67704.47,setl_489788
uci_bank_489790,2009-12-02,UCI ONLINE RETAIL UCI-489790,0.0,131.12,67835.59,setl_489790
uci_bank_489789,2009-12-02,UCI ONLINE RETAIL UCI-489789,0.0,80.4,67915.99,setl_489789
uci_bank_489791,2009-12-02,UCI ONLINE RETAIL UCI-489791,0.0,221.19,68137.18,setl_489791
uci_bank_489792,2009-12-02,UCI ONLINE RETAIL UCI-489792,0.0,923.79,69060.97,setl_489792
uci_bank_489793,2009-12-02,UCI ONLINE RETAIL UCI-489793,0.0,260.36,69321.33,setl_489793
uci_bank_489794,2009-12-02,UCI ONLINE RETAIL UCI-489794,0.0,58.2,69379.53,setl_489794
uci_bank_489795,2009-12-02,UCI ONLINE RETAIL UCI-489795,0.0,935.01,70314.54,setl_489795
uci_bank_489796,2009-12-02,UCI ONLINE RETAIL UCI-489796,0.0,311.5,70626.04,setl_489796
uci_bank_489797,2009-12-02,UCI ONLINE RETAIL UCI-489797,0.0,200.63,70826.67,setl_489797
uci_bank_489798,2009-12-02,UCI ONLINE RETAIL UCI-489798,0.0,311.69,71138.36,setl_489798
uci_bank_489800,2009-12-02,UCI ONLINE RETAIL UCI-489800,0.0,408.07,71546.43,setl_489800
uci_bank_489801,2009-12-02,UCI ONLINE RETAIL UCI-489801,0.0,128.48,71674.91,setl_489801
uci_bank_489802,2009-12-02,UCI ONLINE RETAIL UCI-489802,0.0,174.52,71849.43,setl_489802
uci_bank_489804,2009-12-02,UCI ONLINE RETAIL UCI-489804,0.0,251.17,72100.6,setl_489804
uci_bank_489805,2009-12-02,UCI ONLINE RETAIL UCI-489805,0.0,454.35,72554.95,setl_489805
uci_bank_489807,2009-12-02,UCI ONLINE RETAIL UCI-489807,0.0,180.13,72735.08,setl_489807
uci_bank_489808,2009-12-02,UCI ONLINE RETAIL UCI-489808,0.0,109.84,72844.92,setl_489808
uci_bank_489809,2009-12-02,UCI ONLINE RETAIL UCI-489809,0.0,112.5,72957.42,setl_489809
uci_bank_489810,2009-12-02,UCI ONLINE RETAIL UCI-489810,0.0,493.25,73450.67,setl_489810
uci_bank_489811,2009-12-02,UCI ONLINE RETAIL UCI-489811,0.0,634.29,74084.96,setl_489811
uci_bank_489812,2009-12-02,UCI ONLINE RETAIL UCI-489812,0.0,597.69,74682.65,setl_489812
uci_bank_489814,2009-12-02,UCI ONLINE RETAIL UCI-489814,0.0,824.18,75506.83,setl_489814
uci_bank_489815,2009-12-02,UCI ONLINE RETAIL UCI-489815,0.0,132.55,75639.38,setl_489815
uci_bank_489816,2009-12-02,UCI ONLINE RETAIL UCI-489816,0.0,284.55,75923.93,setl_489816
uci_bank_489817,2009-12-02,UCI ONLINE RETAIL UCI-489817,0.0,340.2,76264.13,setl_489817
uci_bank_489819,2009-12-02,UCI ONLINE RETAIL UCI-489819,0.0,618.43,76882.56,setl_489819
uci_bank_489818,2009-12-02,UCI ONLINE RETAIL UCI-489818,0.0,294.3,77176.86,setl_489818
uci_bank_489822,2009-12-02,UCI ONLINE RETAIL UCI-489822,0.0,371.27,77548.13,setl_489822
uci_bank_489823,2009-12-02,UCI ONLINE RETAIL UCI-489823,0.0,87.3,77635.43,setl_489823
uci_bank_489824,2009-12-02,UCI ONLINE RETAIL UCI-489824,0.0,176.88,77812.31,setl_489824
uci_bank_489825,2009-12-02,UCI ONLINE RETAIL UCI-489825,0.0,174.1,77986.41,setl_489825
uci_bank_489826,2009-12-02,UCI ONLINE RETAIL UCI-489826,0.0,85.95,78072.36,setl_489826
uci_bank_489827,2009-12-02,UCI ONLINE RETAIL UCI-489827,0.0,445.7,78518.06,setl_489827
uci_bank_489829,2009-12-02,UCI ONLINE RETAIL UCI-489829,0.0,472.47,78990.53,setl_489829
uci_bank_489830,2009-12-02,UCI ONLINE RETAIL UCI-489830,0.0,637.04,79627.57,setl_489830
uci_bank_489831,2009-12-02,UCI ONLINE RETAIL UCI-489831,0.0,1008.0,80635.57,setl_489831
uci_bank_489832,2009-12-02,UCI ONLINE RETAIL UCI-489832,0.0,316.22,80951.79,setl_489832
uci_bank_489834,2009-12-02,UCI ONLINE RETAIL UCI-489834,0.0,214.8,81166.59,setl_489834
uci_bank_489833,2009-12-02,UCI ONLINE RETAIL UCI-489833,0.0,150.68,81317.27,setl_489833
uci_bank_489835,2009-12-02,UCI ONLINE RETAIL UCI-489835,0.0,714.0,82031.27,setl_489835
uci_bank_489837,2009-12-02,UCI ONLINE RETAIL UCI-489837,0.0,514.97,82546.24,setl_489837
uci_bank_489840,2009-12-02,UCI ONLINE RETAIL UCI-489840,0.0,89.7,82635.94,setl_489840
uci_bank_489855,2009-12-02,UCI ONLINE RETAIL UCI-489855,0.0,157.91,82793.85,setl_489855
uci_bank_489862,2009-12-02,UCI ONLINE RETAIL UCI-489862,0.0,734.7,83528.55,setl_489862
uci_bank_489863,2009-12-02,UCI ONLINE RETAIL UCI-489863,0.0,66.82,83595.37,setl_489863
uci_bank_489864,2009-12-02,UCI ONLINE RETAIL UCI-489864,0.0,206.85,83802.22,setl_489864
uci_bank_489865,2009-12-02,UCI ONLINE RETAIL UCI-489865,0.0,234.87,84037.09,setl_489865
uci_bank_489866,2009-12-02,UCI ONLINE RETAIL UCI-489866,0.0,1003.83,85040.92,setl_489866
uci_bank_489868,2009-12-02,UCI ONLINE RETAIL UCI-489868,0.0,675.0,85715.92,setl_489868
uci_bank_489869,2009-12-02,UCI ONLINE RETAIL UCI-489869,0.0,39.98,85755.9,setl_489869
uci_bank_489870,2009-12-02,UCI ONLINE RETAIL UCI-489870,0.0,162.1,85918.0,setl_489870
uci_bank_489871,2009-12-02,UCI ONLINE RETAIL UCI-489871,0.0,735.7,86653.7,setl_489871
uci_bank_489872,2009-12-02,UCI ONLINE RETAIL UCI-489872,0.0,632.9,87286.6,setl_489872
uci_bank_489873,2009-12-02,UCI ONLINE RETAIL UCI-489873,0.0,10.2,87296.8,setl_489873
uci_bank_489874,2009-12-02,UCI ONLINE RETAIL UCI-489874,0.0,176.6,87473.4,setl_489874
uci_bank_489875,2009-12-02,UCI ONLINE RETAIL UCI-489875,0.0,530.76,88004.16,setl_489875
uci_bank_489877,2009-12-02,UCI ONLINE RETAIL UCI-489877,0.0,368.1,88372.26,setl_489877
uci_bank_489876,2009-12-02,UCI ONLINE RETAIL UCI-489876,0.0,39.85,88412.11,setl_489876
uci_bank_489878,2009-12-02,UCI ONLINE RETAIL UCI-489878,0.0,143.11,88555.22,setl_489878
uci_bank_489879,2009-12-02,UCI ONLINE RETAIL UCI-489879,0.0,163.47,88718.69,setl_489879
uci_bank_489880,2009-12-02,UCI ONLINE RETAIL UCI-489880,0.0,380.28,89098.97,setl_489880
uci_bank_489883,2009-12-02,UCI ONLINE RETAIL UCI-489883,0.0,578.28,89677.25,setl_489883
uci_bank_489884,2009-12-02,UCI ONLINE RETAIL UCI-489884,0.0,3.61,89680.86,setl_489884
uci_bank_489888,2009-12-02,UCI ONLINE RETAIL UCI-489888,0.0,597.4,90278.26,setl_489888
uci_bank_489889,2009-12-02,UCI ONLINE RETAIL UCI-489889,0.0,4734.24,95012.5,setl_489889
uci_bank_489890,2009-12-02,UCI ONLINE RETAIL UCI-489890,0.0,976.8,95989.3,setl_489890
uci_bank_489891,2009-12-02,UCI ONLINE RETAIL UCI-489891,0.0,181.08,96170.38,setl_489891
uci_bank_489893,2009-12-02,UCI ONLINE RETAIL UCI-489893,0.0,300.1,96470.48,setl_489893
uci_bank_489894,2009-12-02,UCI ONLINE RETAIL UCI-489894,0.0,520.2,96990.68,setl_489894
uci_bank_489895,2009-12-03,UCI ONLINE RETAIL UCI-489895,0.0,371.82,97362.5,setl_489895
uci_bank_489896,2009-12-03,UCI ONLINE RETAIL UCI-489896,0.0,337.93,97700.43,setl_489896
uci_bank_489897,2009-12-03,UCI ONLINE RETAIL UCI-489897,0.0,260.44,97960.87,setl_489897
uci_bank_489900,2009-12-03,UCI ONLINE RETAIL UCI-489900,0.0,287.37,98248.24,setl_489900
uci_bank_489902,2009-12-03,UCI ONLINE RETAIL UCI-489902,0.0,119.1,98367.34,setl_489902
uci_bank_489904,2009-12-03,UCI ONLINE RETAIL UCI-489904,0.0,203.78,98571.12,setl_489904
uci_bank_489905,2009-12-03,UCI ONLINE RETAIL UCI-489905,0.0,478.7,99049.82,setl_489905
uci_bank_489906,2009-12-03,UCI ONLINE RETAIL UCI-489906,0.0,120.0,99169.82,setl_489906
uci_bank_489907,2009-12-03,UCI ONLINE RETAIL UCI-489907,0.0,202.06,99371.88,setl_489907
uci_bank_489909,2009-12-03,UCI ONLINE RETAIL UCI-489909,0.0,642.2,100014.08,setl_489909
uci_bank_489908,2009-12-03,UCI ONLINE RETAIL UCI-489908,0.0,107.33,100121.41,setl_489908
uci_bank_489910,2009-12-03,UCI ONLINE RETAIL UCI-489910,0.0,144.0,100265.41,setl_489910
uci_bank_489912,2009-12-03,UCI ONLINE RETAIL UCI-489912,0.0,1146.1,101411.51,setl_489912
uci_bank_489913,2009-12-03,UCI ONLINE RETAIL UCI-489913,0.0,69.6,101481.11,setl_489913
uci_bank_489914,2009-12-03,UCI ONLINE RETAIL UCI-489914,0.0,993.0,102474.11,setl_489914
uci_bank_489916,2009-12-03,UCI ONLINE RETAIL UCI-489916,0.0,336.0,102810.11,setl_489916
uci_bank_489915,2009-12-03,UCI ONLINE RETAIL UCI-489915,0.0,54.6,102864.71,setl_489915
uci_bank_489932,2009-12-03,UCI ONLINE RETAIL UCI-489932,0.0,82.6,102947.31,setl_489932
uci_bank_489935,2009-12-03,UCI ONLINE RETAIL UCI-489935,0.0,181.65,103128.96,setl_489935
uci_bank_489994,2009-12-03,UCI ONLINE RETAIL UCI-489994,0.0,430.9,103559.86,setl_489994
uci_bank_489996,2009-12-03,UCI ONLINE RETAIL UCI-489996,0.0,320.4,103880.26,setl_489996
uci_bank_489998,2009-12-03,UCI ONLINE RETAIL UCI-489998,0.0,321.65,104201.91,setl_489998
uci_bank_489999,2009-12-03,UCI ONLINE RETAIL UCI-489999,0.0,154.2,104356.11,setl_489999
uci_bank_490000,2009-12-03,UCI ONLINE RETAIL UCI-490000,0.0,143.06,104499.17,setl_490000
uci_bank_490001,2009-12-03,UCI ONLINE RETAIL UCI-490001,0.0,169.5,104668.67,setl_490001
uci_bank_490002,2009-12-03,UCI ONLINE RETAIL UCI-490002,0.0,114.55,104783.22,setl_490002
uci_bank_490003,2009-12-03,UCI ONLINE RETAIL UCI-490003,0.0,317.55,105100.77,setl_490003
uci_bank_490004,2009-12-03,UCI ONLINE RETAIL UCI-490004,0.0,912.56,106013.33,setl_490004
uci_bank_490005,2009-12-03,UCI ONLINE RETAIL UCI-490005,0.0,556.75,106570.08,setl_490005
uci_bank_490006,2009-12-03,UCI ONLINE RETAIL UCI-490006,0.0,344.4,106914.48,setl_490006
uci_bank_490008,2009-12-03,UCI ONLINE RETAIL UCI-490008,0.0,503.93,107418.41,setl_490008
uci_bank_490009,2009-12-03,UCI ONLINE RETAIL UCI-490009,0.0,285.09,107703.5,setl_490009
uci_bank_490010,2009-12-03,UCI ONLINE RETAIL UCI-490010,0.0,1008.0,108711.5,setl_490010
uci_bank_490011,2009-12-03,UCI ONLINE RETAIL UCI-490011,0.0,221.69,108933.19,setl_490011
uci_bank_490013,2009-12-03,UCI ONLINE RETAIL UCI-490013,0.0,500.55,109433.74,setl_490013
uci_bank_490012,2009-12-03,UCI ONLINE RETAIL UCI-490012,0.0,763.35,110197.09,setl_490012
uci_bank_490014,2009-12-03,UCI ONLINE RETAIL UCI-490014,0.0,744.21,110941.3,setl_490014
uci_bank_490017,2009-12-03,UCI ONLINE RETAIL UCI-490017,0.0,393.65,111334.95,setl_490017
uci_bank_490018,2009-12-03,UCI ONLINE RETAIL UCI-490018,0.0,4380.0,115714.95,setl_490018
uci_bank_490019,2009-12-03,UCI ONLINE RETAIL UCI-490019,0.0,308.6,116023.55,setl_490019
uci_bank_490021,2009-12-03,UCI ONLINE RETAIL UCI-490021,0.0,10.2,116033.75,setl_490021
uci_bank_490020,2009-12-03,UCI ONLINE RETAIL UCI-490020,0.0,37.8,116071.55,setl_490020
uci_bank_490022,2009-12-03,UCI ONLINE RETAIL UCI-490022,0.0,45.6,116117.15,setl_490022
uci_bank_490023,2009-12-03,UCI ONLINE RETAIL UCI-490023,0.0,189.15,116306.3,setl_490023
uci_bank_490024,2009-12-03,UCI ONLINE RETAIL UCI-490024,0.0,215.0,116521.3,setl_490024
